Accuracy,AUC,F1 Score,Scenario_Defense
0.7,0.706031746031746,0.7963800904977375,LabelFlipping_IsolationForest
0.66,0.6243386243386243,0.7649769585253456,LabelFlipping_IsolationForest
0.7066666666666667,0.7241269841269842,0.8070175438596491,Clean Data
0.6666666666666666,0.6099470899470899,0.7727272727272727,Clean Data
0.7,0.6694179894179894,0.7982062780269058,Clean Data
0.7,0.706031746031746,0.7963800904977375,LabelFlipping_IsolationForest
0.66,0.6243386243386243,0.7649769585253456,LabelFlipping_IsolationForest
0.7333333333333333,0.7191534391534391,0.8165137614678899,LabelFlipping_LOF
0.6533333333333333,0.6156613756613757,0.7547169811320755,LabelFlipping_LOF
0.7066666666666667,0.7241269841269842,0.8070175438596491,Clean Data
0.6666666666666666,0.6099470899470899,0.7727272727272727,Clean Data
0.7,0.6694179894179894,0.7982062780269058,Clean Data
0.7333333333333333,0.7191534391534391,0.8165137614678899,LabelFlipping_LOF
0.6533333333333333,0.6156613756613757,0.7547169811320755,LabelFlipping_LOF
0.7266666666666667,0.706031746031746,0.8127853881278538,LabelFlipping_Autoencoder
0.64,0.5796825396825397,0.7522935779816514,LabelFlipping_Autoencoder
0.7066666666666667,0.7241269841269842,0.8070175438596491,Clean Data
0.6666666666666666,0.6099470899470899,0.7727272727272727,Clean Data
0.7,0.6694179894179894,0.7982062780269058,Clean Data
0.7266666666666667,0.706031746031746,0.8127853881278538,LabelFlipping_Autoencoder
0.64,0.5796825396825397,0.7522935779816514,LabelFlipping_Autoencoder
0.7066666666666667,0.7088888888888889,0.7962962962962963,LabelFlipping_IsolationForest_Autoencoder
0.7,0.6317460317460317,0.7926267281105991,LabelFlipping_IsolationForest_Autoencoder
0.7066666666666667,0.7241269841269842,0.8070175438596491,Clean Data
0.6666666666666666,0.6099470899470899,0.7727272727272727,Clean Data
0.7,0.6694179894179894,0.7982062780269058,Clean Data
0.7066666666666667,0.7088888888888889,0.7962962962962963,LabelFlipping_IsolationForest_Autoencoder
0.7,0.6317460317460317,0.7926267281105991,LabelFlipping_IsolationForest_Autoencoder
0.7133333333333334,0.7168253968253968,0.8088888888888889,FeatureManipulation_IsolationForest
0.68,0.6738624338624338,0.7777777777777778,FeatureManipulation_IsolationForest
0.7066666666666667,0.7241269841269842,0.8070175438596491,Clean Data
0.6666666666666666,0.6099470899470899,0.7727272727272727,Clean Data
0.7,0.6694179894179894,0.7982062780269058,Clean Data
0.7133333333333334,0.7168253968253968,0.8088888888888889,FeatureManipulation_IsolationForest
0.68,0.6738624338624338,0.7777777777777778,FeatureManipulation_IsolationForest
0.7266666666666667,0.7207407407407408,0.8161434977578476,FeatureManipulation_LOF
0.6333333333333333,0.6154497354497355,0.7465437788018433,FeatureManipulation_LOF
0.7066666666666667,0.7241269841269842,0.8070175438596491,Clean Data
0.6666666666666666,0.6099470899470899,0.7727272727272727,Clean Data
0.7,0.6694179894179894,0.7982062780269058,Clean Data
0.7266666666666667,0.7207407407407408,0.8161434977578476,FeatureManipulation_LOF
0.6333333333333333,0.6154497354497355,0.7465437788018433,FeatureManipulation_LOF
0.7333333333333333,0.7279365079365079,0.8181818181818182,FeatureManipulation_Autoencoder
0.6533333333333333,0.6317460317460317,0.7614678899082569,FeatureManipulation_Autoencoder
0.7066666666666667,0.7241269841269842,0.8070175438596491,Clean Data
0.6666666666666666,0.6099470899470899,0.7727272727272727,Clean Data
0.7,0.6694179894179894,0.7982062780269058,Clean Data
0.7333333333333333,0.7279365079365079,0.8181818181818182,FeatureManipulation_Autoencoder
0.6533333333333333,0.6317460317460317,0.7614678899082569,FeatureManipulation_Autoencoder
0.7,0.7168253968253968,0.8,FeatureManipulation_IsolationForest_Autoencoder
0.6666666666666666,0.6101587301587301,0.7727272727272727,FeatureManipulation_IsolationForest_Autoencoder
0.7066666666666667,0.7241269841269842,0.8070175438596491,Clean Data
0.6666666666666666,0.6099470899470899,0.7727272727272727,Clean Data
0.7,0.6694179894179894,0.7982062780269058,Clean Data
0.7,0.7168253968253968,0.8,FeatureManipulation_IsolationForest_Autoencoder
0.6666666666666666,0.6101587301587301,0.7727272727272727,FeatureManipulation_IsolationForest_Autoencoder
0.7133333333333334,0.7075132275132275,0.8088888888888889,BackdoorAttack_IsolationForest
0.6866666666666666,0.6499470899470899,0.7813953488372093,BackdoorAttack_IsolationForest
0.7066666666666667,0.7241269841269842,0.8070175438596491,Clean Data
0.6666666666666666,0.6099470899470899,0.7727272727272727,Clean Data
0.7,0.6694179894179894,0.7982062780269058,Clean Data
0.7133333333333334,0.7075132275132275,0.8088888888888889,BackdoorAttack_IsolationForest
0.6866666666666666,0.6499470899470899,0.7813953488372093,BackdoorAttack_IsolationForest
0.72,0.7247619047619046,0.8141592920353983,BackdoorAttack_LOF
